Affirmation,Estimation Globale (%),Consensus Scientifique,Notes,Thème,Année,Démographie,France (% d'accord),États-Unis (% d'accord),Brésil (% d'accord),Inde (% d'accord),Italie (% d'accord),Russie (% d'accord),Allemagne (% d'accord),Pologne (% d'accord),Belgique (% d'accord),Canada (% d'accord),Espagne (% d'accord),Royaume-Uni (% d'accord),Turquie (% d'accord)
La Terre est plate,3.5,Faux,"Théorie du complot répandue sur Internet, très faible consensus.",,,,2.1,4.5,6.0,,,,,,,,,,
Le changement climatique est causé par l'humain,76.3,Vrai,Large consensus scientifique. Opinion publique variable selon les régions.,,,,83.0,66.0,,71.0,,,,,,,,,
Les vaccins sont dangereux pour la santé,12.0,Faux,"Consensus scientifique sur la sûreté des vaccins, malgré la méfiance d'une minorité.",,,,16.0,10.5,,,8.0,,,,,,,,
Nous ne sommes jamais allés sur la Lune,11.0,Faux,"Théorie conspirationniste répandue, mais contredite par des preuves scientifiques, techniques et des témoignages internationaux.",,,,9.0,14.0,,,,28.0,,,,,,,
Le virus de la COVID-19 a été créé en laboratoire,35.0,Incertitude,Théorie largement discutée ; les agences de renseignement américaines divergent sur l’origine du virus.,,,,31.0,43.0,,52.0,,,,,,,,,
Les vaccins COVID-19 modifient l’ADN humain,14.0,Faux,Mythe contredit par les agences de santé du monde entier. Aucun vaccin ARN ne modifie l’ADN.,,,,17.0,11.0,20.0,,,,,,,,,,
Le président Emmanuel Macron inspire confiance,24.0,Opinion,Croyance politique. Taux de confiance évolutif selon les contextes et les sondages.,,,,24.0,,,,,,,,,,,,
Le président Emmanuel Macron est de droite,56.0,Opinion,"Selon l’opinion publique, Emmanuel Macron est souvent perçu comme un président de droite, bien que son positionnement soit revendiqué comme central.",,,,56.0,,,,,,,,,,,,
Les élites mondiales veulent réduire la population,21.0,Complot,Narratif conspirationniste récurrent dans les sphères antivax et extrémistes.,,,,18.0,25.0,,,,,,,,,,,
Les vaccins contiennent des puces électroniques pour nous contrôler,8.0,Faux,Aucune preuve scientifique. Théorie du complot sans fondement réel.,,,,,10.0,7.0,,,,,,,,,,
Les réseaux sociaux influencent les résultats des élections,69.0,Vrai,Des études démontrent l’impact significatif des plateformes sociales sur les choix électoraux.,,,,71.0,68.0,,,,,65.0,,,,,,
Le virus du COVID-19 est exagéré par les médias,27.0,Controverse,"Perception courante dans certaines régions, bien que les données médicales contredisent cette idée.",,,,24.0,32.0,,,,,,,,,,,
Le changement climatique est une invention,12.0,Faux,Théorie minoritaire. Contredite par l’ensemble des données scientifiques climatologiques mondiales.,,,,8.0,14.0,,,,,,,,,,,
Le gouvernement nous surveille en permanence via nos téléphones,48.0,Partiellement vrai,"Des dispositifs de surveillance existent, mais pas à l’échelle fantasmée dans les théories complotistes.",,,,47.0,52.0,,,,,,,,,,,
Opinion numéro 11 sur un sujet controversé,25.0,Opinion,Cette opinion est la numéro 11 d'une base synthétique enrichie automatiquement à des fins de test.,,,,21.0,26.0,31.0,,,,,,,,,,
Opinion numéro 12 sur un sujet controversé,27.0,Opinion,Cette opinion est la numéro 12 d'une base synthétique enrichie automatiquement à des fins de test.,,,,22.0,27.0,32.0,,,,,,,,,,
Opinion numéro 13 sur un sujet controversé,29.0,Opinion,Cette opinion est la numéro 13 d'une base synthétique enrichie automatiquement à des fins de test.,,,,23.0,28.0,33.0,,,,,,,,,,
Opinion numéro 14 sur un sujet controversé,24.0,Opinion,Cette opinion est la numéro 14 d'une base synthétique enrichie automatiquement à des fins de test.,,,,24.0,29.0,34.0,,,,,,,,,,
Opinion numéro 15 sur un sujet controversé,26.0,Vrai,Cette opinion est la numéro 15 d'une base synthétique enrichie automatiquement à des fins de test.,,,,25.0,30.0,35.0,,,,,,,,,,
Opinion numéro 16 sur un sujet controversé,28.0,Opinion,Cette opinion est la numéro 16 d'une base synthétique enrichie automatiquement à des fins de test.,,,,26.0,31.0,36.0,,,,,,,,,,
